t,p
212.018912,1139.619141
213.019861,1139.618759
214.022256,1139.619141
215.024583,1142.684021
216.026957,1151.319733
217.029342,1162.835236
218.031694,1178.925247
219.033953,1197.660141
220.036234,1214.411926
221.038768,1225.174866
222.03977,1233.082733
223.041917,1236.591949
224.044193,1236.981812
225.046668,1236.993256
226.049011,1236.993256
227.051645,1237.002869
228.05412,1237.008362
229.056609,1237.011566
230.058849,1237.019958
231.060148,1237.026443
232.062196,1237.033081
233.064535,1237.0401
234.067028,1237.046432
235.069471,1237.050781
236.07177,1237.051544
237.074189,1237.053299
238.076444,1237.053604
239.078855,1237.055359
240.079673,1237.057953
241.082125,1237.058868
242.084609,1237.060928
243.086877,1237.064362
244.089286,1237.066345
245.091557,1237.068176
246.094319,1237.070847
247.096407,1237.071381
248.09873,1237.071762
249.099862,1237.071762
250.102264,1237.071533
251.10434,1237.071533
252.106667,1237.075653
253.109045,1237.076111
254.111382,1237.079926
255.113792,1237.081604
256.116302,1237.081604
257.118819,1237.079239
258.120016,1237.078094
259.122179,1237.07634
260.124352,1237.074966
261.126849,1237.074966
262.129358,1237.080765
263.131827,1237.084122
264.13404,1237.089996
265.136459,1237.096863
266.138864,1237.101974
267.13976,1237.102127
268.141912,1237.104721
269.144341,1237.107162
270.146692,1237.108688
271.149018,1237.111969
272.151372,1237.113953
273.153698,1237.114182
274.15608,1237.116165
275.158419,1237.116165
276.159949,1237.115326
277.162261,1237.115097
278.164626,1237.115097
279.167014,1237.138443
280.169344,1238.217239
281.171629,1245.184097
282.1743,1254.653397
283.176673,1264.164658
284.178909,1273.651352
285.180098,1282.459564
286.182416,1285.724182
287.184719,1285.787201
288.187043,1285.796814
289.189392,1285.798035
290.191994,1285.800171
291.194334,1285.803375
292.196684,1285.803375
293.199149,1285.803223
294.200537,1285.802155
295.202943,1285.800629
296.205213,1285.800629
297.20778,1285.800629
298.209967,1285.802155
299.212333,1285.803986
300.214688,1285.803986
301.21692,1285.763397
302.219087,1285.722046
303.220366,1285.710297
304.222747,1285.703583
305.224914,1285.703583
306.227329,1285.730591
307.22974,1285.767059
308.232119,1285.778503
309.234489,1285.778809
310.23687,1285.781097
311.239057,1285.783081
312.240403,1285.784454
313.242591,1285.784607
314.244763,1285.786438
315.247188,1285.789185
316.249448,1285.7901
317.251852,1285.791321
318.254298,1285.792694
319.256544,1285.792694
320.258889,1285.791473
321.259698,1285.791168
322.262182,1285.791473
323.264284,1285.791626
324.266727,1285.793915
325.269458,1285.795898
326.271641,1285.79834
327.273907,1285.800323
328.276221,1285.801849
329.278494,1285.802155
330.279923,1285.802765
331.282343,1285.802765
332.284585,1285.802765
333.287038,1285.803528
334.289263,1285.803528
335.291896,1285.80368
336.294335,1285.80368
337.296599,1285.80368
338.299449,1285.803223
339.299961,1285.801697
340.302478,1285.801697
341.304795,1285.80246
342.307239,1285.80246
343.309505,1285.802307
344.311905,1285.802307
345.314446,1287.415771
346.316859,1295.048676
347.318963,1304.535828
348.320168,1314.01825
349.322284,1323.504028
350.324604,1331.835022
351.326989,1334.339752
352.329263,1334.360962
353.331649,1334.366455
354.334195,1334.369049
355.337052,1334.369354
356.338836,1334.371033
357.339906,1334.372559
358.34233,1334.373474
359.344791,1334.377289
360.347032,1334.381256
361.349455,1334.382935
362.35176,1334.38324
363.354193,1334.38324
364.356513,1334.380035
365.358873,1334.377594
366.359636,1334.377594
367.36204,1334.379272
368.364352,1334.383087
369.366798,1334.385071
370.369232,1334.38858
371.371565,1334.38858
372.373893,1334.388428
373.376227,1334.386292
374.378806,1334.38385
375.379634,1334.381409
